Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D11Mit188,pQCT.fem.dens,0.812843771686994,0.106187236678509,7.65481612585842,0,0
sex,TV,0.641978248245588,0.0842933487221309,7.61600123826898,0,0
D1Mit14,BV.TV.TRABECULAR,0.455093656887744,0.0600460816056348,7.57907335030897,0,0
D17MIT175,endo.c,-0.885258527603007,0.117069606628175,7.56181346380262,0,0
D11Mit213,pQCT.fem.dens,0.640310290525789,0.084876409598312,7.54403129863924,0,0
sex,peri.c,0.603653000983854,0.0802747323589786,7.51983822611072,0,0
D17Mit39,endo.c,-0.778057180576831,0.104115338215215,7.47303129312724,0,0
D17Mit76,endo.c,-0.784882146139118,0.10568059077521,7.42692807053491,0,0
D17Mit20,endo.c,-0.78578187998416,0.106097767088581,7.40620563039852,0,0
D4Mit170,Final.IGF.1,0.353688740628651,0.0477638438852184,7.40494717047067,0,0
D4Mit15,pctFat,0.482868493797552,0.0652571735940173,7.39946993110074,0,0
D11Mit188,cort.thick,0.701437855652637,0.0949331624594444,7.38875475629807,0,0
D1Mit540,BV.TV.TRABECULAR,0.341136178163803,0.0463594276339587,7.35850711655287,0,0
D4Mit15,Femur.Length,0.684739911977733,0.0933174090014821,7.33775100814102,0,0
D4Mit15,body.weight,0.641699112513399,0.0884064308883107,7.25851169497044,0,0
D1Mit14,ROI.L2.4.BMD,0.317139695569685,0.043696517024275,7.25777973089943,0,0
D11MIT30,BV.TV.TRABECULAR,0.342081468335256,0.047257853791354,7.23861624875231,0,0
D11Mit188,BV.TV,0.752534589765942,0.104259103993718,7.2179268854189,0,0
D4Mit15,STIFFNESS,0.738127453191441,0.102388356392529,7.20909563546133,0,0
D4Mit170,C.Th,0.715725287799065,0.0994082726828346,7.199856395077,0,0
D1Mit540,endo.c,-0.815091724726114,0.113238751779426,7.19799284183034,0,0
D4Mit170,Tb.N,0.358281525910658,0.0499878656166681,7.16736995050237,0,0
D11Mit213,cort.thick,0.541544639580578,0.0758741063007633,7.1374104550755,0,0
D4Mit15,BV.TV,0.593774779933904,0.0834003310788039,7.11957341479681,0,0
D1Mit14,Tb.Th,0.49147642515104,0.0690985904093624,7.11268380786605,0,0
D1Mit14,endo.c,-0.798461060472119,0.112661583527509,7.08725224226193,0,0
D17MIT175,TV,-0.636989353687612,0.0906464664900023,7.02718350039456,0,0
D13Mit88,endo.c,-0.815040341564745,0.116410625274483,7.00142568294753,0,0
D17MIT175,peri.c,-0.601314780142171,0.08632327010016,6.96584802040599,0,0
D1Mit540,ROI.L2.4.BMD,0.234855188326261,0.0337295856480808,6.96288388409609,0,0
sex,cort.thick,-0.477048309251573,0.0688866567897393,6.92511919554542,0,0
D11Mit213,BV.TV,0.575675273437659,0.0833242067419968,6.90885993334646,0,0
D1Mit386,Tb.N,0.332410429684862,0.0482103938763674,6.89499510286741,0,0
D4Mit15,cort.thick,0.522881814844848,0.0762835299691879,6.85445226585671,0,0
D1Mit386,C.Th,0.656631605323527,0.0959235550010194,6.84536353262292,0,0
D17Mit20,TV,-0.771971244964286,0.112891006840631,6.83819966327417,0,0
sex,STIFFNESS,0.520625070915681,0.0762556475535783,6.8273641050636,0,0
D11MIT30,ROI.L2.4.BMD,0.234034127319785,0.034388688915714,6.8055553933271,0,0
D1Mit17,pQCT.fem.dens,0.595889180310987,0.0877605690095351,6.78994207804469,0,0
D17Mit20,peri.c,-0.729377715493536,0.107491541098256,6.78544291058983,0,0
D1Mit540,Tb.Th,0.360161133091718,0.0532843351580251,6.75923105775065,0,0
sex,body.weight,0.444910859132549,0.0658717040404321,6.75420297096705,0,0
D17Mit39,TV,-0.842989140872137,0.126573516975128,6.66007519596524,0,0
D1Mit386,endo.c,-0.593052625549373,0.0892025297843031,6.64838348176233,0,0
D17Mit164,TV,-0.783296352442101,0.11798320083063,6.63904985563631,0,0
D4Mit170,pctFat,0.460737959230389,0.0694909889270857,6.63018279555389,0,0
sex,Femur.Length,0.461288643049273,0.0695801703313237,6.62959922134035,0,0
D17Mit164,peri.c,-0.743591402477285,0.112313747017532,6.62066240529941,0,0
D17Mit39,peri.c,-0.79700451112917,0.120562414683232,6.61072120381163,0,0
D4Mit15,peri.c,0.716265916955,0.108381107759886,6.60877095426866,0,0
D17MIT175,STIFFNESS,-0.688059252527482,0.10426296228879,6.59926821014043,0,0
D11MIT30,Tb.Th,0.35770448067531,0.054329366922018,6.58399869059293,0,0
D17MIT175,body.weight,-0.591870836644779,0.0900568038556008,6.57219456282058,0,0
D4Mit111,Tb.Th,0.46302086691327,0.0705566992912112,6.56239409672818,0,0
D4Mit111,ROI.L2.4.BMD,0.293104313037774,0.0447094060220692,6.55576396817022,0,0
D4Mit170,Femur.Length,0.650541266745917,0.0993510931674857,6.5479024538687,0,0
D1Mit17,cort.thick,0.511566335014395,0.0783188146962683,6.53184470421728,0,0
sex,pctFat,0.317689444660076,0.0486841932901296,6.5255152276393,0,0
D17MIT175,Femur.Length,-0.620552291394673,0.0951127912988036,6.52438313417975,0,0
D4Mit111,BV.TV.TRABECULAR,0.401586685746999,0.0615934475665939,6.51995791131532,0,0
D4Mit15,TV,0.740590466512413,0.113919870587659,6.50097707004105,0,0
sex,BV.TV,-0.490630334216873,0.0755575212993999,6.49346783456182,0,0
D1Mit386,Final.IGF.1,0.300042560232458,0.046252692290161,6.48702908687295,0,0
D17MIT175,pctFat,-0.431381688360775,0.0665414188044212,6.48290487506275,0,0
D11Mit188,Tb.N,0.323353354374792,0.0499307820071893,6.47603224656553,0,0
D4Mit170,BV.TV,0.743342046594251,0.11482251978115,6.47383499344075,0,0
D13Mit88,pQCT.fem.dens,0.703583547939768,0.108681793570087,6.47379404431744,0,0
D11Mit188,C.Th,0.64057897265711,0.0993792847727812,6.44579978736732,0,0
D4Mit170,body.weight,0.606355153154687,0.0940971938002625,6.44392386920465,0,0
D17Mit76,TV,-0.8010886933857,0.124588320940576,6.42988594226093,0,0
D17Mit164,STIFFNESS,-0.684030163448087,0.106455974919626,6.42547460548391,0,0
D17Mit164,body.weight,-0.588425785616702,0.0919432732947435,6.3998785830735,0,0
D1Mit17,BV.TV,0.639319252756149,0.100084225397325,6.38781236721484,0,0
D4Mit170,STIFFNESS,0.695159342150204,0.108960663485245,6.37991106069523,0,0
D17Mit20,STIFFNESS,-0.650194820360557,0.102018137258664,6.37332574218651,0,0
D17Mit164,Femur.Length,-0.616977025639275,0.0970921859558787,6.35454871640902,0,0
D17Mit76,peri.c,-0.753858717962353,0.118664400468333,6.35286332705593,0,0
D11MIT30,endo.c,-0.736297344970023,0.116109833537547,6.34138662107309,0,0
D17Mit20,body.weight,-0.619078535479163,0.0977997721752387,6.33006112089803,0,0
D4Mit111,BMD.g.cm2,0.663733618402905,0.10487024856436,6.32909359412422,0,0
D4Mit111,Final.IGF.1,0.300536259225581,0.0475796431381754,6.31648830052799,0,0
D17Mit164,pctFat,-0.428917428140408,0.0679192255401856,6.31511070288384,0,0
D17Mit20,Femur.Length,-0.649914081588137,0.103292017989595,6.29200681947759,0,0
D8MIT75,pQCT.fem.dens,0.513200385205625,0.0816308061063374,6.28684695992219,0,0
D4Mit170,cort.thick,0.659690216744247,0.104940268961751,6.28634006059858,0,0
D9Mit90,TV,-0.747226753834779,0.118873684708968,6.28588872015007,0,0
D4Mit111,BV.CORTICAL,0.698660266507249,0.111612312889613,6.25970601647003,0,0
D17Mit20,pctFat,-0.452273117186524,0.0722644842901589,6.25858084547509,0,0
D9Mit90,peri.c,-0.708365220817413,0.113198643807408,6.25771826403327,0,0
D11Mit213,endo.c,-0.737253845691449,0.117866038898317,6.25501503726173,0,0
D17Mit76,pQCT.fem.dens,0.629560056551475,0.100784110625313,6.24662015317079,0,0
D13Mit88,cort.thick,0.604860826388819,0.0968668957697868,6.24424703178604,0,0
D17Mit39,STIFFNESS,-0.713656397439218,0.11464771501495,6.22477645844192,0,0
D11Mit188,Final.IGF.1,0.298838688260303,0.0480251948437525,6.22253984044332,0,0
D4Mit111,C.Th,0.611800150342399,0.0989698726962322,6.18168068398143,0,0
D17Mit39,body.weight,-0.612252523025588,0.0990442383095053,6.18160665855542,0,0
D4Mit111,Tb.N,0.306530744010137,0.049763343450109,6.15976987795152,0,0
D4Mit15,pQCT.fem.dens,0.527260983316761,0.0861342284848604,6.12138742740856,0,0
D9Mit1006,STIFFNESS,-0.692323342131793,0.113157680848438,6.11821784381639,0,0
D9Mit1006,body.weight,-0.597939882299367,0.0977312230513243,6.11820729988567,0,0
D9Mit1006,Femur.Length,-0.631158389491958,0.103204030890257,6.11563699641835,0,0
D9Mit1006,pctFat,-0.441193613146869,0.0721945382739857,6.11117715681613,0,0
D17Mit39,Femur.Length,-0.639028776204732,0.10463438633029,6.10725401673946,0,0
D13Mit88,BV.TV,0.647814966442446,0.106228696489788,6.09830476932115,0,0
D15MIT143,TV,0.557984216287013,0.0917301350436405,6.08288885677049,0,0
D17MIT175,D19Mit40,-1.1823088096611,0.194575506004265,6.07634965952593,0,0
D13Mit16,pQCT.fem.dens,0.693460011290953,0.114263869321915,6.06893513589386,0,0
D11Mit2,pQCT.fem.dens,0.598183472516125,0.0987591093996183,6.05699541189299,0,0
D17Mit164,endo.c,-0.729915679008816,0.120521865800953,6.0562925586823,0,0
D9Mit1006,peri.c,-0.699604633172414,0.115566639531804,6.05369019992904,0,0
D15MIT143,peri.c,0.528543768601081,0.087357012933324,6.05038737994048,0,0
