Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D4Mit170,BMD.g.cm2,0.793284437061825,0.111464971393223,7.11689445703347,0,< 0.00323
D11MIT30,C.Th,0.627443152462327,0.088603211175865,7.08149449817276,0,< 0.00323
D1Mit17,BV.TV,0.625198372166764,0.0884986564563125,7.06449563418393,0,< 0.00323
D17MIT175,peri.c,-0.787484359698832,0.111506221753009,7.06224592061909,0,< 0.00323
D17Mit76,endo.c,-0.860675539408154,0.121875593265556,7.06191876771272,0,< 0.00323
D1Mit236,cort.thick,0.751883395183996,0.107082575506183,7.02152886807043,0,< 0.00323
D11Mit2,cort.thick,0.676886143432905,0.096546079167613,7.0110163899848,0,< 0.00323
D8MIT75,endo.c,-0.8408772908139,0.120516539996125,6.97727706786914,0,< 0.00323
D8MIT75,pQCT.fem.dens,0.576985928688395,0.0827116309373209,6.97587415638844,0,< 0.00323
D4Mit170,Tb.Th,0.629502438380801,0.0902774218907944,6.97297757508283,0,< 0.00323
D8MIT75,C.Th,0.589509801020017,0.0846304169022908,6.96569652611578,0,< 0.00323
D18Mit147,cort.thick,0.684590375210895,0.0987900805701676,6.92974812106415,0,< 0.00323
D4Mit15,TV,0.778299183168281,0.113439860000538,6.86089689430672,0,< 0.00323
D17MIT175,TV,-0.79050429387422,0.115231438528765,6.86014427978256,0,< 0.00323
D4Mit15,BV.TV,0.587526089305123,0.0857364650455889,6.85269784557499,0,< 0.00323
D14Mit68,Tb.N,0.565755136112718,0.0827298049719169,6.83858902247826,0,< 0.00323
D1Mit14,endo.c,-0.817028121745556,0.119624136727012,6.82996044193033,0,< 0.00323
D4Mit170,C.Th,0.797612764972788,0.116831484480029,6.82703612406062,0,< 0.00323
D4Mit170,peri.c,0.798668696014604,0.117152629058164,6.81733480874835,0,< 0.00323
D11Mit188,cort.thick,0.710827031637027,0.104547331520558,6.79909301651811,0,< 0.00323
D11Mit213,cort.thick,0.762819126611982,0.112291281942257,6.79321772285261,0,< 0.00323
D14Mit75,BV.TV.TRABECULAR,0.638724869863249,0.0940596836515241,6.79063383021381,0,< 0.00323
D4Mit15,cort.thick,0.725658054658488,0.107304625540077,6.76259808005635,0,< 0.00323
D18Mit123,cort.thick,0.649130985230833,0.0959989617009166,6.7618542297696,0,< 0.00323
D1Mit386,endo.c,-0.849847501657672,0.126007215534259,6.74443521392327,0,< 0.00323
D1Mit17,Tb.Th,0.622290633428084,0.0923605609383511,6.73762293240565,0,< 0.00323
D17MIT175,STIFFNESS,-0.732536523144973,0.108856071587616,6.72940436359004,0,< 0.00323
D11Mit213,BV.TV,0.57850546408069,0.0860102840659439,6.72600341183795,0,< 0.00323
D1Mit540,endo.c,-0.804413346738312,0.120172233926003,6.69383700758728,0,< 0.00323
